record_type,event_id,event_name,generated_at,scheduled_date,tour,surface,best_of,fav_player_id,fav_name,fav_final_win_pct,fav_sim_win_pct,fav_elo_win_pct,fav_elo_rank,fav_elo_percentile,fav_serve_percentile,fav_return_percentile,fav_low_sample,fav_proj_games_won,fav_proj_games_lost,fav_proj_aces,fav_proj_dfs,fav_proj_1stIn_pct,fav_proj_1stWon_pct,fav_proj_2ndWon_pct,fav_proj_ret_won_pct,fav_proj_bp_faced,fav_proj_bp_saved,fav_ml_odds,fav_ml_book,fav_chart_elo_overall_pctile,fav_chart_elo_overall_rank,fav_chart_elo_overall_rank_qualified,fav_chart_elo_surface_rank,fav_chart_elo_surface_rank_qualified,tour_pool_size,fav_chart_elo_surface_pctile,fav_chart_svc_games_won_pctile,fav_chart_ret_games_won_pctile,fav_chart_aces_per_match_pctile,fav_chart_dfs_per_match_pctile,fav_chart_1st_serve_won_pctile,fav_chart_2nd_serve_won_pctile,fav_chart_bp_saved_pctile,fav_chart_sample_svpt,dog_player_id,dog_name,dog_final_win_pct,dog_sim_win_pct,dog_elo_win_pct,dog_elo_rank,dog_elo_percentile,dog_serve_percentile,dog_return_percentile,dog_low_sample,dog_proj_games_won,dog_proj_games_lost,dog_proj_aces,dog_proj_dfs,dog_proj_1stIn_pct,dog_proj_1stWon_pct,dog_proj_2ndWon_pct,dog_proj_ret_won_pct,dog_proj_bp_faced,dog_proj_bp_saved,dog_ml_odds,dog_ml_book,dog_chart_elo_overall_pctile,dog_chart_elo_overall_rank,dog_chart_elo_overall_rank_qualified,dog_chart_elo_surface_rank,dog_chart_elo_surface_rank_qualified,dog_chart_elo_surface_pctile,dog_chart_svc_games_won_pctile,dog_chart_ret_games_won_pctile,dog_chart_aces_per_match_pctile,dog_chart_dfs_per_match_pctile,dog_chart_1st_serve_won_pctile,dog_chart_2nd_serve_won_pctile,dog_chart_bp_saved_pctile,dog_chart_sample_svpt,proj_total_games,proj_total_games_raw,market_total_line,market_total_over_odds,market_total_under_odds,market_spread_line,market_spread_fav_odds,market_spread_dog_odds,hard_low_sample_flag,market,pick_side,pick_odds,pick_book,fav_odds,fav_model_prob,fav_market_prob,dog_odds,dog_model_prob,dog_market_prob,line,edge,grade,meets_threshold
BESTBET,236738030,,,,,,,,Maria Sakkari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamilla Rakhimova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Maria Sakkari -3.5,-120.0,BetMGM,-120.0,0.532,0.5048923679060665,-115.0,0.46799999999999997,0.4951076320939335,3.5,0.0060239182430963135,D,False
BESTBET,236738030,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 21.5,-110.0,BetMGM,-110.0,0.5012,0.48529411764705876,-125.0,0.4988,0.5147058823529412,21.5,0.0027662404092071674,D,False
MATCH,236738040,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T18:10:00Z,WTA,Hard,3.0,77174.0,Jessica Pegula,0.887,0.8967903399514872,0.8846,4.0,99.5,94.4,91.7,False,12.977,6.858,3.56,1.71,0.6471,0.6839,0.5099,0.4577,5.527,3.481,-2500.0,BetanoBR,99.5,4.0,True,4.0,True,588.0,99.5,98.0,91.7,87.1,89.4,94.4,91.5,8.5,6138.0,81413.0,Simona Waltert,0.113,0.10320966004851284,0.1154,158.0,73.3,60.2,40.5,False,6.858,12.977,2.21,2.93,0.6603,0.6114,0.5151,0.4033,9.921,4.894,650.0,SportingBet,73.1,159.0,True,169.0,True,71.4,85.0,40.5,62.0,60.0,60.2,93.2,59.7,1529.0,19.17,19.84,18.5,102.5,-147.5,6.5,-115.0,-125.0,False,,,,,,,,,,,,,,
BESTBET,236738040,,,,,,,,Jessica Pegula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simona Waltert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Jessica Pegula,-2000.0,BetanoUK,-2000.0,0.8869916612038138,0.8771929824561404,650.0,0.11300833879618621,0.12280701754385966,,0.005344733862367294,D,False
BESTBET,236738040,,,,,,,,Jessica Pegula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simona Waltert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Simona Waltert +6.5,-125.0,BetMGM,-115.0,0.4775,0.490521327014218,-125.0,0.5225,0.509478672985782,6.5,0.0028936282253817997,D,False
BESTBET,236738040,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 18.5,100.0,BetMGM,100.0,0.4807,0.46153846153846145,-140.0,0.5193,0.5384615384615385,18.5,0.0033324414715719237,D,False
MATCH,236738050,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T15:00:00Z,WTA,Hard,3.0,77030.0,Amanda Anisimova,0.7239,0.7055195695157541,0.6934,13.0,98.0,86.0,88.2,False,13.101,9.908,3.68,4.03,0.6549,0.6544,0.4759,0.4517,9.928,5.392,-400.0,Caesars,97.6,15.0,True,12.0,True,588.0,98.1,92.0,88.2,78.4,40.6,86.0,78.2,11.9,4692.0,85371.0,Zeynep Sonmez,0.2761,0.2944804304842459,0.3066,57.0,90.5,53.2,88.6,False,9.908,13.101,1.25,3.48,0.6282,0.6017,0.4595,0.452,11.778,5.675,260.0,SportingBet,90.0,60.0,True,54.0,True,91.0,58.9,88.6,30.2,57.8,53.2,68.5,11.6,4822.0,20.8,22.09,19.5,-140.0,-102.0,4.5,-143.0,110.0,False,,,,,,,,,,,,,,
BESTBET,236738050,,,,,,,,Amanda Anisimova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeynep Sonmez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Zeynep Sonmez,260.0,Caesars,-400.0,0.7238938053764337,0.7422680412371133,260.0,0.27610619462356634,0.25773195876288657,,0.010022310469461629,D,False
BESTBET,236738050,,,,,,,,Amanda Anisimova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeynep Sonmez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Zeynep Sonmez +4.5,2.5,Caesars,-139.0,0.4707,0.5,2.5,0.5293,0.5,4.5,0.00651111111111111,D,False
BESTBET,236738050,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 19.5,-137.5,BetMGM,-137.5,0.58,0.5323424494649227,-103.5,0.42000000000000004,0.4676575505350773,19.5,0.008288269658274285,D,False
