record_type,event_id,event_name,generated_at,scheduled_date,tour,surface,best_of,fav_player_id,fav_name,fav_final_win_pct,fav_sim_win_pct,fav_elo_win_pct,fav_elo_rank,fav_elo_percentile,fav_serve_percentile,fav_return_percentile,fav_low_sample,fav_proj_games_won,fav_proj_games_lost,fav_proj_aces,fav_proj_dfs,fav_proj_1stIn_pct,fav_proj_1stWon_pct,fav_proj_2ndWon_pct,fav_proj_ret_won_pct,fav_proj_bp_faced,fav_proj_bp_saved,fav_ml_odds,fav_ml_book,fav_chart_elo_overall_pctile,fav_chart_elo_overall_rank,fav_chart_elo_overall_rank_qualified,fav_chart_elo_surface_rank,fav_chart_elo_surface_rank_qualified,tour_pool_size,fav_chart_elo_surface_pctile,fav_chart_svc_games_won_pctile,fav_chart_ret_games_won_pctile,fav_chart_aces_per_match_pctile,fav_chart_dfs_per_match_pctile,fav_chart_1st_serve_won_pctile,fav_chart_2nd_serve_won_pctile,fav_chart_bp_saved_pctile,fav_chart_sample_svpt,dog_player_id,dog_name,dog_final_win_pct,dog_sim_win_pct,dog_elo_win_pct,dog_elo_rank,dog_elo_percentile,dog_serve_percentile,dog_return_percentile,dog_low_sample,dog_proj_games_won,dog_proj_games_lost,dog_proj_aces,dog_proj_dfs,dog_proj_1stIn_pct,dog_proj_1stWon_pct,dog_proj_2ndWon_pct,dog_proj_ret_won_pct,dog_proj_bp_faced,dog_proj_bp_saved,dog_ml_odds,dog_ml_book,dog_chart_elo_overall_pctile,dog_chart_elo_overall_rank,dog_chart_elo_overall_rank_qualified,dog_chart_elo_surface_rank,dog_chart_elo_surface_rank_qualified,dog_chart_elo_surface_pctile,dog_chart_svc_games_won_pctile,dog_chart_ret_games_won_pctile,dog_chart_aces_per_match_pctile,dog_chart_dfs_per_match_pctile,dog_chart_1st_serve_won_pctile,dog_chart_2nd_serve_won_pctile,dog_chart_bp_saved_pctile,dog_chart_sample_svpt,proj_total_games,proj_total_games_raw,market_total_line,market_total_over_odds,market_total_under_odds,market_spread_line,market_spread_fav_odds,market_spread_dog_odds,hard_low_sample_flag,market,pick_side,pick_odds,pick_book,fav_odds,fav_model_prob,fav_market_prob,dog_odds,dog_model_prob,dog_market_prob,line,edge,grade,meets_threshold
BESTBET,236738080,,,,,,,,Matteo Arnaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Landaluce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Martin Landaluce +4.5,-475.0,DraftKings,275.0,0.148,0.24403183023872677,-475.0,0.852,0.7559681697612732,4.5,0.021340406719717056,D,False
BESTBET,236738080,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Under 21.5,125.0,DraftKings,-200.0,0.5673,0.6,125.0,0.4327,0.4,21.5,0.0056869565217391215,D,False
MATCH,236738100,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T15:00:00Z,WTA,Hard,3.0,94076.0,Alexandra Eala,0.6077,0.5734685875026844,0.5701,25.0,95.9,57.2,83.8,False,12.569,11.536,1.13,3.54,0.6691,0.6072,0.465,0.4463,11.171,5.826,-220.0,BetanoBR,95.4,28.0,True,24.0,True,588.0,96.1,71.4,83.8,27.9,60.6,57.2,73.1,16.4,4452.0,80385.0,Elena-Gabriela Ruse,0.3923,0.42653141249731563,0.4299,43.0,92.9,82.1,77.8,False,11.536,12.569,4.16,5.69,0.6078,0.6483,0.4244,0.4398,11.799,5.95,160.0,SportingBet,93.2,41.0,True,39.0,True,93.5,71.6,77.8,82.5,15.2,82.1,46.8,22.4,3364.0,22.03,22.56,21.5,-110.0,-130.0,3.5,-125.0,-115.0,False,,,,,,,,,,,,,,
BESTBET,236738100,,,,,,,,Alexandra Eala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elena-Gabriela Ruse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Elena-Gabriela Ruse,160.0,Caesars,-222.0,0.6076862510467158,0.6419039145907472,160.0,0.3923137489532842,0.3580960854092527,,0.018664180114926238,D,False
BESTBET,236738100,,,,,,,,Alexandra Eala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elena-Gabriela Ruse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Elena-Gabriela Ruse +3.5,-115.0,BetMGM,-120.0,0.3957,0.5048923679060665,-115.0,0.6043000000000001,0.4951076320939335,3.5,0.024264970645792548,D,False
BESTBET,236738100,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 21.5,-120.0,BetMGM,-120.0,0.5046,0.5,-120.0,0.49539999999999995,0.5,21.5,0.0007999999999999891,D,False
MATCH,236738110,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-16T00:30:00Z,WTA,Hard,3.0,77920.0,Belinda Bencic,0.7858,0.8023270152720017,0.7897,10.0,98.5,91.1,90.5,False,13.328,8.936,2.21,2.87,0.6431,0.6713,0.4845,0.4552,6.44,4.002,-500.0,BetanoBR,98.3,11.0,True,9.0,True,588.0,98.6,94.4,90.5,58.2,67.6,91.1,83.0,9.7,3977.0,162358.0,Lois Boisson,0.2142,0.19767298472799832,0.2103,128.0,78.4,96.4,38.8,False,8.936,13.328,4.37,3.69,0.7013,0.6888,0.4928,0.4014,9.739,5.19,300.0,BetanoBR,78.1,130.0,True,127.0,True,78.6,98.4,38.8,88.8,47.0,96.4,85.3,61.3,1146.0,21.16,21.82,20.5,-120.0,-120.0,4.5,-119.0,-120.0,False,,,,,,,,,,,,,,
BESTBET,236738110,,,,,,,,Belinda Bencic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lois Boisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Belinda Bencic,-500.0,Caesars,-500.0,0.7857788922513854,0.7692307692307692,300.0,0.21422110774861458,0.23076923076923073,,0.00902624892033614,D,False
BESTBET,236738110,,,,,,,,Belinda Bencic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lois Boisson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Belinda Bencic -4.5,-120.0,BetMGM,-120.0,0.5789,0.5,-120.0,0.42110000000000003,0.5,4.5,0.017533333333333328,D,False
BESTBET,236738110,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 20.5,-120.0,BetMGM,-120.0,0.5117,0.5019186492709132,-118.0,0.48829999999999996,0.49808135072908677,20.5,0.0017011044746237743,D,False
MATCH,236738120,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T16:10:00Z,WTA,Hard,3.0,78903.0,Jelena Ostapenko,0.5355,0.5438530233006033,0.5443,30.0,95.1,69.5,75.3,False,12.303,11.889,3.29,5.53,0.6139,0.6224,0.3956,0.4361,11.218,5.836,-133.0,SportingBet,95.6,27.0,True,37.0,True,588.0,93.9,43.5,75.3,70.2,18.1,69.5,30.8,24.8,3170.0,78896.0,Magdalena Frech,0.4645,0.45614697669939674,0.4557,60.0,90.0,73.4,71.9,False,11.889,12.303,3.37,2.38,0.6488,0.6316,0.4798,0.4326,11.46,5.876,-105.0,Caesars,88.4,69.0,True,52.0,True,91.3,84.8,71.9,72.3,85.9,73.4,80.2,28.2,3878.0,22.0,22.5,21.5,-125.0,-115.0,0.5,-120.0,-118.0,False,,,,,,,,,,,,,,
BESTBET,236738120,,,,,,,,Jelena Ostapenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magdalena Frech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Jelena Ostapenko,-133.0,Caesars,-133.0,0.5354583113796656,0.527063599458728,-105.0,0.4645416886203344,0.472936400541272,,0.0045789337750568445,D,False
BESTBET,236738120,,,,,,,,Jelena Ostapenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magdalena Frech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Jelena Ostapenko -0.5,-120.0,BetMGM,-120.0,0.5225,0.5059101654846335,-114.0,0.47750000000000004,0.4940898345153665,0.5,0.0036866298923036783,D,False
BESTBET,236738120,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Under 21.5,-115.0,BetMGM,-125.0,0.5076,0.5094786729857821,-115.0,0.49239999999999995,0.4905213270142179,21.5,0.0003267257366577456,D,False
MATCH,236738370,"ATP Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-16T00:10:00Z,ATP,Hard,3.0,77023.0,Alexander Zverev,0.7215,0.684492438515822,0.6705,4.0,99.4,86.5,58.0,False,14.455,12.424,8.29,1.36,0.7369,0.7497,0.5509,0.3494,2.603,1.952,-388.0,Skybet,99.6,3.0,True,4.0,True,497.0,99.4,97.3,58.0,90.5,92.2,86.5,89.7,42.3,6162.0,77011.0,Cameron Norrie,0.2785,0.31550756148417797,0.3295,23.0,95.6,80.1,72.0,False,12.424,14.455,4.67,2.03,0.6384,0.7378,0.5404,0.3627,4.754,3.275,295.0,FanDuel,95.4,24.0,True,22.0,True,95.8,87.9,72.0,49.4,78.2,80.1,86.0,28.1,5923.0,23.93,25.37,22.5,-105.0,-132.5,3.5,-146.0,105.0,False,,,,,,,,,,,,,,
BESTBET,236738370,,,,,,,,Alexander Zverev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron Norrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Cameron Norrie,295.0,FanDuel,-388.0,0.7214900082314832,0.7584875779471445,295.0,0.27850999176851676,0.2415124220528556,,0.02018049257217887,D,False
BESTBET,236738370,,,,,,,,Alexander Zverev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameron Norrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Cameron Norrie +3.5,110.0,DraftKings,-150.0,0.3465,0.5575221238938053,110.0,0.6535,0.4424778761061947,3.5,0.0468938053097345,C+,False
BESTBET,236738370,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 22.5,-102.5,DraftKings,-102.5,0.5587,0.467620336361879,-136.0,0.4413,0.5323796636381211,22.5,0.0158399415022819,D,False
MATCH,236745010,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T18:30:00Z,WTA,Hard,3.0,77917.0,Elise Mertens,0.6937,0.6709412989964251,0.6615,21.0,96.6,92.0,83.6,False,13.126,10.639,5.28,5.03,0.6318,0.675,0.4382,0.4461,8.713,5.014,-350.0,BetanoBR,96.8,20.0,True,27.0,True,588.0,95.6,89.1,83.6,92.3,22.1,92.0,55.4,16.5,2974.0,83831.0,Diane Parry,0.3063,0.3290587010035749,0.3385,84.0,85.9,88.8,48.2,False,10.639,13.126,4.34,3.3,0.6454,0.6616,0.4789,0.4101,10.495,5.596,225.0,SportingBet,86.9,78.0,True,99.0,True,83.3,92.8,48.2,85.0,65.8,88.8,79.7,52.0,2290.0,21.59,22.69,20.5,-130.0,-110.0,4.5,-105.0,-135.0,False,,,,,,,,,,,,,,
BESTBET,236745010,,,,,,,,Elise Mertens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diane Parry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Diane Parry,225.0,Caesars,-350.0,0.6937383660336456,0.7165354330708661,225.0,0.3062616339663544,0.28346456692913385,,0.012434763838483912,D,False
BESTBET,236745010,,,,,,,,Elise Mertens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diane Parry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Diane Parry +4.5,-135.0,BetMGM,-105.0,0.4003,0.4713467048710602,-135.0,0.5997,0.5286532951289398,4.5,0.015788156638013386,D,False
BESTBET,236745010,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 20.5,-130.0,BetMGM,-130.0,0.5792,0.5190114068441064,-110.0,0.42079999999999995,0.4809885931558936,20.5,0.010467581418416286,D,False
MATCH,236745020,"WTA Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T16:10:00Z,WTA,Hard,3.0,162118.0,Diana Shnaider,0.7459,0.7661848259739709,0.7529,17.0,97.3,81.8,71.5,False,13.187,9.072,1.59,3.52,0.6769,0.6473,0.443,0.4321,8.326,4.744,-375.0,Caesars,97.3,17.0,True,17.0,True,588.0,97.3,86.5,71.5,39.5,52.1,81.8,59.5,28.7,5101.0,77033.0,Tatjana Maria,0.2541,0.23381517402602914,0.2471,88.0,85.2,70.7,48.9,False,9.072,13.187,4.26,2.81,0.6371,0.6237,0.4054,0.411,11.111,5.518,240.0,SportingBet,87.9,72.0,True,137.0,True,76.9,53.7,48.9,87.6,73.4,70.7,35.4,51.3,2663.0,21.07,21.64,20.5,-115.0,-122.5,4.5,-135.0,-110.0,False,,,,,,,,,,,,,,
BESTBET,236745020,,,,,,,,Diana Shnaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatjana Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Diana Shnaider,-350.0,Caesars,-350.0,0.745897291035766,0.7256097560975611,240.0,0.25410270896423404,0.27439024390243905,,0.011065928148111762,D,False
BESTBET,236745020,,,,,,,,Diana Shnaider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tatjana Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Diana Shnaider -4.5,-135.0,BetMGM,-135.0,0.5635,0.5230627306273062,-110.0,0.4365,0.47693726937269376,4.5,0.008986059860598614,D,False
BESTBET,236745020,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Under 20.5,-122.5,BetMGM,-113.0,0.4709,0.49072899385185903,-122.5,0.5291,0.5092710061481409,20.5,0.0034485206698885392,D,False
MATCH,236745070,"ATP Cincinnati, USA  - Round Of 128","Aug 14, 2026 6:01 PM ET",2026-08-14T23:00:00Z,ATP,Hard,3.0,77201.0,Jenson Brooksby,0.5441,0.5292378767025339,0.528,80.0,84.1,48.7,70.6,False,13.129,12.778,3.56,1.88,0.6512,0.6865,0.5139,0.3613,5.909,3.871,-142.0,Caesars,84.1,80.0,True,83.0,True,497.0,83.5,58.4,70.6,30.0,83.9,48.7,66.8,29.6,3472.0,290058.0,Jaime Faria,0.4559,0.47076212329746614,0.472,97.0,80.7,53.9,72.6,False,12.778,13.129,5.99,3.91,0.6063,0.6954,0.5069,0.3628,6.265,4.074,116.0,BetfairUK,81.3,94.0,True,106.0,True,78.9,55.3,72.6,63.8,23.0,53.9,61.2,27.7,1648.0,22.06,23.61,20.5,-215.0,140.0,3.5,137.5,-215.0,False,,,,,,,,,,,,,,
BESTBET,236745070,,,,,,,,Jenson Brooksby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Faria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Jaime Faria,116.0,BetfairUK,-142.0,0.5441057440080682,0.5589736113136026,116.0,0.4558942559919318,0.4410263886863974,,0.008109745803018738,D,False
BESTBET,236745070,,,,,,,,Jenson Brooksby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaime Faria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Jaime Faria +3.5,-215.0,DraftKings,137.5,0.2824,0.38152914458743376,-215.0,0.7176,0.6184708554125662,3.5,0.022028698797207494,D,False
BESTBET,236745070,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 20.5,-215.0,DraftKings,-215.0,0.6273,0.6209386281588447,140.0,0.37270000000000003,0.3790613718411553,20.5,0.0011063255375922192,D,False
MATCH,236745180,"WTA Cincinnati, USA  - Round Of 128","Aug 14, 2026 6:01 PM ET",2026-08-14T23:00:00Z,WTA,Hard,3.0,77043.0,Sloane Stephens,0.5053,0.5573747510602529,0.558,90.0,84.9,35.6,63.5,False,12.327,11.732,1.23,2.89,0.7133,0.5772,0.4718,0.4249,11.285,5.812,105.0,BetanoBR,85.5,86.0,True,87.0,True,588.0,85.4,56.1,63.5,29.0,76.1,35.6,76.7,36.7,1764.0,80690.0,Sinja Kraus,0.4947,0.4426252489397471,0.442,132.0,77.7,53.6,82.6,False,11.732,12.327,2.39,3.02,0.6279,0.6024,0.4774,0.4447,11.672,5.911,-145.0,Caesars,78.2,129.0,True,141.0,True,76.2,67.3,82.6,54.9,73.7,53.6,79.0,17.5,1610.0,21.97,22.43,21.5,-102.0,-140.0,,,,False,,,,,,,,,,,,,,
BESTBET,236745180,,,,,,,,Sloane Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinja Kraus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Sloane Stephens,105.0,Caesars,105.0,0.5053030614389207,0.4532313718175883,-143.0,0.4946969385610793,0.5467686281824116,,0.028402739793454007,D,False
BESTBET,236745180,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 21.5,-106.0,BetMGM,-106.0,0.4994,0.4765441751368256,-130.0,0.5005999999999999,0.5234558248631744,21.5,0.003974926063160763,D,False
MATCH,236745190,"WTA Cincinnati, USA  - Round Of 128","Aug 14, 2026 6:01 PM ET",2026-08-15T00:10:00Z,WTA,Hard,3.0,111575.0,Eva Lys,0.5895,0.6215240450764588,0.6108,82.0,86.2,35.1,94.0,False,12.851,10.7,0.96,4.25,0.687,0.5766,0.4151,0.4686,10.857,5.677,-150.0,SportingBet,85.2,88.0,True,72.0,True,588.0,87.9,37.6,94.0,25.8,38.1,35.1,40.9,6.2,2940.0,78019.0,Sofia Kenin,0.4105,0.3784759549235412,0.3892,137.0,76.9,60.6,28.6,False,10.7,12.851,1.94,5.78,0.6819,0.6119,0.4055,0.3842,12.083,5.842,110.0,BetanoBR,77.6,133.0,True,149.0,True,74.8,55.5,28.6,46.3,12.4,60.6,35.7,71.6,2894.0,21.87,22.23,21.5,-117.5,-120.0,2.5,-115.0,-120.0,False,,,,,,,,,,,,,,
BESTBET,236745190,,,,,,,,Eva Lys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sofia Kenin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Eva Lys,-150.0,Caesars,-150.0,0.589523084485132,0.5575221238938053,110.0,0.410476915514868,0.4424778761061947,,0.017455069413450947,D,False
BESTBET,236745190,,,,,,,,Eva Lys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sofia Kenin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Eva Lys -2.5,-112.5,Caesars,-112.5,0.5773,0.4902080783353733,-122.5,0.42269999999999996,0.5097919216646267,2.5,0.019353760369917084,D,False
BESTBET,236745190,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 21.5,-115.0,BetMGM,-115.0,0.5147,0.4951076320939334,-120.0,0.48529999999999995,0.5048923679060666,21.5,0.003407368331489874,D,False
MATCH,236745210,"WTA Cincinnati, USA  - Round Of 128","Aug 14, 2026 6:01 PM ET",2026-08-15T15:00:00Z,WTA,Hard,3.0,77048.0,Shuai Zhang,0.5407,0.5863300789261381,0.5847,61.0,89.8,56.3,80.3,False,12.597,11.502,2.36,3.08,0.724,0.6061,0.4783,0.4424,9.825,5.426,-110.0,BetanoBR,89.5,63.0,True,63.0,True,588.0,89.5,80.1,80.3,54.9,72.1,56.3,79.6,19.8,3692.0,81295.0,Kayla Day,0.4593,0.4136699210738619,0.4153,126.0,78.7,68.8,68.3,False,11.502,12.597,6.29,3.01,0.6858,0.6215,0.5749,0.4295,10.546,5.612,-120.0,BetanoBR,78.4,128.0,True,121.0,True,79.6,94.9,68.3,96.1,73.7,68.8,98.1,31.9,1005.0,22.06,22.61,21.5,-115.0,-125.0,,,,False,,,,,,,,,,,,,,
BESTBET,236745210,,,,,,,,Shuai Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kayla Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Shuai Zhang,-115.0,Caesars,-115.0,0.5407188555100357,0.4951076320939334,-120.0,0.45928114448996427,0.5048923679060665,,0.02487884913605583,D,False
BESTBET,236745210,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 21.5,-115.0,BetMGM,-115.0,0.5423,0.490521327014218,-125.0,0.4577,0.509478672985782,21.5,0.009004986606222972,D,False
MATCH,236745270,"ATP Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T15:00:00Z,ATP,Hard,3.0,86868.0,Flavio Cobolli,0.5768,0.592857440744891,0.5912,32.0,93.8,66.8,45.3,False,13.721,12.794,6.04,3.22,0.5667,0.715,0.5044,0.3401,4.73,3.264,-143.0,BetfairUK,94.8,27.0,True,42.0,True,497.0,91.8,57.3,45.3,66.4,37.1,66.8,59.4,54.9,3982.0,79310.0,Miomir Kecmanovic,0.4232,0.407142559255109,0.4088,75.0,85.1,77.6,68.2,False,12.794,13.721,6.0,2.62,0.6251,0.7318,0.5,0.3592,5.632,3.756,117.0,DraftKings,85.5,73.0,True,82.0,True,83.7,73.8,68.2,64.7,57.3,77.6,55.5,31.9,4295.0,23.02,24.54,21.5,-200.0,135.0,3.5,150.0,-225.0,False,,,,,,,,,,,,,,
BESTBET,236745270,,,,,,,,Flavio Cobolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miomir Kecmanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Flavio Cobolli,-143.0,BetfairUK,-143.0,0.576841147402501,0.5608248540601111,117.0,0.42315885259749897,0.4391751459398891,,0.00873616000493998,D,False
BESTBET,236745270,,,,,,,,Flavio Cobolli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miomir Kecmanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Miomir Kecmanovic +3.5,-225.0,DraftKings,150.0,0.2955,0.3661971830985915,-225.0,0.7045,0.6338028169014085,3.5,0.015710485133020338,D,False
BESTBET,236745270,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Under 21.5,135.0,DraftKings,-200.0,0.5729,0.6103896103896104,135.0,0.42710000000000004,0.38961038961038963,21.5,0.006519932241671395,D,False
MATCH,236745280,"ATP Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T18:10:00Z,ATP,Hard,3.0,82163.0,Alejandro Tabilo,0.625,0.5895332980164367,0.5839,42.0,91.8,85.1,33.8,False,14.297,13.366,7.18,1.67,0.6812,0.7467,0.5232,0.3285,3.404,2.486,-225.0,DraftKings,90.7,47.0,True,43.0,True,497.0,91.5,92.7,33.8,77.4,87.6,85.1,74.4,66.4,4158.0,76979.0,Jan-Lennard Struff,0.375,0.4104667019835633,0.4161,55.0,89.1,89.5,66.3,False,13.366,14.297,9.02,3.15,0.6083,0.756,0.4906,0.3575,4.37,3.068,181.0,BetanoBR,91.5,43.0,True,77.0,True,84.7,79.1,66.3,90.3,40.4,89.5,47.6,33.9,3538.0,23.09,25.67,20.5,-240.0,150.0,2.5,-152.5,105.0,False,,,,,,,,,,,,,,
BESTBET,236745280,,,,,,,,Alejandro Tabilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-Lennard Struff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moneyline,Jan-Lennard Struff,181.0,DraftKings,-225.0,0.6250095322675551,0.6604857665186733,181.0,0.37499046773244493,0.33951423348132675,,0.01935067322788267,D,False
BESTBET,236745280,,,,,,,,Alejandro Tabilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan-Lennard Struff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Games Spread,Jan-Lennard Struff +2.5,105.0,DraftKings,-150.0,0.3947,0.5515695067264573,105.0,0.6053,0.4484304932735427,2.5,0.0348598903836572,C,False
BESTBET,236745280,,,,,,,,Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Games,Over 20.5,-240.0,DraftKings,-240.0,0.7236,0.6382978723404256,150.0,0.2764,0.36170212765957444,20.5,0.01483515263644773,D,False
MATCH,236745290,"ATP Cincinnati, USA  - Round Of 64","Aug 14, 2026 6:01 PM ET",2026-08-15T15:00:00Z,ATP,Hard,3.0,81882.0,Mariano Navone,0.4897,0.5402417760388251,0.5452,52.0,89.7,36.1,81.3,False,13.216,13.091,2.68,3.22,0.666,0.6641,0.4964,0.3727,5.584,3.701,117.0,DraftKings,91.3,44.0,True,63.0,True,497.0,87.5,44.7,81.3,19.7,39.0,36.1,53.4,18.8,2519.0,250019.0,Alexander Blockx,0.5103,0.45975822396117494,0.4548,73.0,85.5,90.3,74.6,False,13.091,13.216,9.51,2.21,0.6452,0.7583,0.5181,0.3645,5.774,3.836,-143.0,BetfairUK,86.5,68.0,True,96.0,True,80.9,91.1,74.6,91.5,73.7,90.3,70.4,25.7,1595.0,22.28,24.07,20.5,-225.0,150.0,3.5,220.0,-350.0,False,,,,,,,,,,,,,,
